ville,canton,prix_metre_carre_moyen
Saint-Livres,VD,6173.948550428747
Saint-Léonard,VS,5738.366106812606
Saint-Martin,FR,0.0
Saint-Martin,VS,3711.960368011323
Saint-Maurice,VS,4450.0693481276
Saint-Oyens,VD,7392.045454545455
Saint-Prex,VD,12552.315608919382
Saint-Sulpice,VD,12346.095869761833
Sainte-Croix,VD,4387.3031496062995
Salmsach,TG,0.0
Salvan,VS,4134.826532623694
Samedan,GR,0.0
Sant'Antonino,TI,5898.595943837753
Santa Maria in Calanca,GR,0.0
Sargans,SG,0.0
Sarmenstorf,AG,9293.92446633826
Sarnen,OW,9516.85393258427
Satigny,GE,9447.304253589813
Saubraz,VD,9136.178861788618
Sauge,BE,5375.854214123006
Savigny,VD,11190.900981266726
Savièse,VS,6264.414150129422
Savosa,TI,0.0
Saxon,VS,4646.091781847893
Schaffhausen,SH,8741.806554756195
Schattdorf,UR,0.0
Schenkon,LU,0.0
Schiers,GR,7150.259067357513
Schinznach,AG,3338.0281690140846
Schlatt-Haslen,AI,0.0
Schleitheim,SH,0.0
Schluein,GR,0.0
Schupfart,AG,0.0
Schwaderloch,AG,0.0
Schwarzenburg,BE,0.0
Schwerzenbach,ZH,0.0
Schwyz,SZ,0.0
Schänis,SG,0.0
Schöftland,AG,0.0
Schönenbuch,BL,9066.985645933015
Schönenwerd,SO,0.0
Schötz,LU,0.0
Schübelbach,SZ,10338.47472150814
Schüpfen,BE,0.0
Scuol,GR,0.0
Seedorf,BE,0.0
Seengen,AG,0.0
Seewis im Prättigau,GR,0.0
Sembrancher,VS,2217.220033764772
Semsales,FR,6614.862450875313
Senarclens,VD,8764.568764568765
Sennwald,SG,0.0
Sergey,VD,6142.94710327456
Serravalle,TI,3552.60663507109
Servion,VD,7077.276205049732
Seuzach,ZH,0.0
Sevelen,SG,7266.91042047532
Sierre,VS,5532.302478698683
Siglistorf,AG,0.0
Signau,BE,0.0
Signy-Avenex,VD,0.0
Sigriswil,BE,0.0
Silenen,UR,0.0
