ville,canton,prix_metre_carre_moyen
Saint-Gingolph,VS,27.758284600389864
Saint-Imier,BE,11.188546255506608
Saint-Livres,VD,0.0
Saint-Martin,FR,0.0
Saint-Maurice,VS,13.846153846153847
Saint-Prex,VD,27.390350877192983
Saint-Sulpice,VD,29.439065033327328
Sainte-Croix,VD,14.508094645080947
Salmsach,TG,16.666666666666668
Sant'Antonino,TI,14.786476868327401
Sargans,SG,17.92207792207792
Sarnen,OW,0.0
Satigny,GE,26.271186440677965
Saubraz,VD,0.0
Savigny,VD,27.816504854368933
Savièse,VS,0.0
Savosa,TI,14.5
Saxon,VS,19.58673932788374
Schaffhausen,SH,19.22886029411765
Schattdorf,UR,13.961538461538462
Schlatt-Haslen,AI,13.455098934550989
Schleitheim,SH,12.645792563600782
Schluein,GR,19.056603773584907
Schmiedrued,AG,0.0
Schnottwil,SO,0.0
Schwende-Rüte,AI,0.0
Schwerzenbach,ZH,27.594026548672566
Schwyz,SZ,0.0
Schänis,SG,18.98148148148148
Schöfflisdorf,ZH,0.0
Schöftland,AG,19.184549356223176
Schönenwerd,SO,16.10590277777778
Seedorf,BE,16.186186186186188
Seltisberg,BL,0.0
Selzach,SO,15.244444444444444
Sempach,LU,0.0
Semsales,FR,18.38414192614048
Senarclens,VD,0.0
Sennwald,SG,0.0
Seon,AG,0.0
Servion,VD,0.0
Seuzach,ZH,0.0
Sevelen,SG,0.0
Sierre,VS,17.606382978723403
Sigriswil,BE,0.0
Silenen,UR,0.0
Sins,AG,0.0
Sion,VS,17.768983711860518
Sirnach,TG,0.0
Siviriez,FR,17.463054187192117
Solothurn,SO,17.743589743589745
Sonceboz-Sombeval,BE,0.0
Sonvilier,BE,10.507518796992482
Soral,GE,0.0
Soyhières,JU,0.0
Spiez,BE,18.793478260869566
Spreitenbach,AG,20.941952506596305
St. Gallen,SG,13.166666666666666
St. Margrethen,SG,14.927536231884059
St. Silvester,FR,0.0
Stadel,ZH,0.0
Stallikon,ZH,18.661538461538463
Starrkirch-Wil,SO,0.0
Staufen,AG,0.0
Steckborn,TG,0.0
Steffisburg,BE,19.110410094637224
Stein,AG,0.0
Stein am Rhein,SH,0.0
Steinach,SG,0.0
Steinen,SZ,0.0
Stetten,AG,0.0
Strengelbach,AG,15.68421052631579
Studen,BE,15.242424242424242
Stäfa,ZH,20.585062240663902
Subingen,SO,0.0
Suhr,AG,18.282393669634025
Sulgen,TG,11.283018867924529
Sumiswald,BE,0.0
Surpierre,FR,0.0
Sursee,LU,0.0
Tafers,FR,18.039831981460022
Tannay,VD,36.73575129533679
Tartegnin,VD,0.0
Tavannes,BE,13.756983240223464
Tenero-Contra,TI,0.0
Tentlingen,FR,0.0
Termen,VS,15.140845070422536
Teufen,AR,0.0
Thal,SG,17.27659574468085
Thalwil,ZH,25.686900958466452
Thayngen,SH,17.15483870967742
Therwil,BL,21.122591943957968
Thun,BE,17.765911072362684
Thundorf,TG,18.689621249385144
Thunstetten,BE,13.823529411764707
Thônex,GE,28.50877192982456
Thörigen,BE,14.486274509803922
Thürnen,BL,0.0
Toffen,BE,19.082159624413144
Tolochenaz,VD,22.95991983967936
Torny,FR,0.0
Torricella-Taverne,TI,13.007518796992482
Tresa,TI,0.0
Treyvaux,FR,0.0
Troinex,GE,0.0
Troistorrents,VS,0.0
Trüllikon,ZH,0.0
Twann-Tüscherz,BE,16.47526595744681
Tägerwilen,TG,20.4359756097561
Tévenon,VD,0.0
Ueberstorf,FR,0.0
Ufhusen,LU,0.0
