ville,canton,prix,metres_carres,type,nbr_pieces
Münchenstein,BL,885,46,Appartement ,1.0
Saint-Sulpice,VD,1450,43,Appartement ,2.0
Neckertal,SG,1050,74,Appartement ,3.5
Vernier,GE,2650,45,Appartement meublé ,1.0
La Chaux-de-Fonds,NE,1170,86,Appartement ,4.0
Chiasso,TI,1070,54,Appartement ,2.5
La Chaux-de-Fonds,NE,1000,56,Appartement ,2.5
Chiasso,TI,790,46,Appartement ,1.5
Vionnaz,VS,1220,71,Appartement ,3.5
Vernier,GE,5600,160,Appartement ,6.0
Crans-Montana,VS,6000,100,Appartement ,4.5
Mies,VD,12000,500,Villa ,9.0
Zürich,ZH,3640,37,Appartement meublé,
Ollon,VD,5500,200,Duplex ,6.0
Münchwilen,TG,1152,43,Appartement ,2.5
Zäziwil,BE,930,58,Appartement ,3.0
Münchenstein,BL,1660,49,Appartement ,1.5
Semsales,FR,1110,52,Appartement ,2.5
Münchenstein,BL,1690,45,Appartement ,2.5
Twann-Tüscherz,BE,660,28,Appartement ,2.0
Haute-Sorne,JU,900,79,Appartement ,3.5
Chiasso,TI,1600,150,Appartement ,5.0
Gibloux,FR,1240,77,Appartement ,3.5
Wichtrach,BE,1400,92,Appartement ,4.5
Grandson,VD,580,10,Appartement ,1.0
Thundorf,TG,1330,62,Appartement ,2.5
Biberist,SO,1180,107,Appartement ,4.5
Kirchlindach,BE,1430,68,Appartement ,3.0
Gossau,SG,900,65,Appartement ,3.0
Zürich,ZH,2650,18,Appartement meublé,
Collex-Bossy,GE,4800,130,Appartement ,5.0
Münchenstein,BL,2650,65,Appartement meublé ,2.0
Porrentruy,JU,1000,65,Appartement ,2.5
Bottmingen,BL,1460,65,Appartement ,3.0
Lucens,VD,1150,64,Appartement ,3.0
Oensingen,SO,1590,121,Duplex ,4.5
Neuchâtel,NE,1250,90,Appartement ,4.5
Thundorf,TG,2010,119,Appartement ,5.5
La Chaux-de-Fonds,NE,860,60,Appartement ,3.0
Tolochenaz,VD,1400,55,Dernier étage,
Saint-Sulpice,VD,1120,44,Appartement ,2.0
Wallisellen,ZH,2140,121,Appartement ,2.5
Frauenkappelen,BE,1095,51,Appartement ,2.0
Le Locle,NE,920,96,Appartement ,4.0
Bottmingen,BL,1280,49,Dernier étage ,1.5
Yvonand,VD,1850,113,Duplex ,3.5
Obergerlafingen,SO,870,74,Appartement ,3.5
Solothurn,SO,2400,101,Appartement ,3.5
Sainte-Croix,VD,1180,120,Appartement ,4.5
Crans-Montana,VS,2000,200,Chalet ,6.5
Crans-Montana,VS,3200,200,Chalet ,6.5
Sainte-Croix,VD,1150,90,Appartement ,4.5
Maur,ZH,1800,109,Appartement ,3.5
Buchs,AG,1730,119,Appartement ,4.5
Ollon,VD,1550,76,Appartement ,3.5
Frauenkappelen,BE,1290,63,Appartement ,3.0
La Chaux-de-Fonds,NE,1000,83,Appartement ,4.5
Huttwil,BE,1650,97,Appartement ,3.5
Paradiso,TI,3644,25,Appartement meublé,
Paradiso,TI,3683,39,Appartement meublé ,1.0
Semsales,FR,1600,83,Appartement ,3.5
Vordemwald,AG,1380,102,Appartement ,4.5
Crans-Montana,VS,1780,60,Appartement ,2.5
Schleitheim,SH,2008,171,Appartement ,4.5
Schleitheim,SH,1069,75,Appartement ,3.5
Rüfenach,AG,1585,87,Duplex ,3.5
Münchenstein,BL,1672,80,Appartement ,3.5
La Chaux-de-Fonds,NE,655,56,Appartement ,2.5
Naters,VS,910,50,Appartement ,2.5
Zürich,ZH,1990,72,Attique ,3.5
Birmensdorf,ZH,1700,85,Appartement ,3.5
Develier,JU,1950,120,Appartement ,4.5
Sierre,VS,1100,70,Duplex ,2.5
Aarburg,AG,1570,94,Appartement ,3.5
Le Locle,NE,1000,175,Appartement ,5.0
Richterswil,ZH,1700,81,Appartement ,3.5
Münchenstein,BL,600,38,Mansarde ,1.0
Münchenstein,BL,1700,98,Appartement ,3.5
Luterbach,SO,1290,61,Appartement ,2.5
La Chaux-de-Fonds,NE,1450,102,Appartement ,4.0
La Chaux-de-Fonds,NE,1740,106,Appartement ,4.0
